row,actual,predicted,prob_0,prob_1
433,0,0,0.9999867552922485,1.3244707751576933e-05
150,1,1,0.052821704087830046,0.94717829591217
267,1,1,0.006364292346382694,0.9936357076536173
484,1,1,0.15352752835334615,0.8464724716466538
527,1,1,0.00273428224543959,0.9972657177545604
67,1,1,0.001618789724520231,0.9983812102754798
516,0,0,0.9999091871040948,9.081289590512462e-05
80,1,1,0.02888369178508554,0.9711163082149145
73,0,1,0.1332969084838277,0.8667030915161723
98,1,1,0.0012900013599540516,0.998709998640046
472,1,1,0.04131368010308989,0.9586863198969101
501,0,0,0.9902060898584958,0.009793910141504223
86,0,0,0.715029806252023,0.28497019374797705
460,0,0,0.9999987808351046,1.2191648954210761e-06
258,0,0,0.9999995181433428,4.818566571958305e-07
320,1,1,0.0002725665146617873,0.9997274334853382
288,1,1,0.0006575064672910136,0.999342493532709
305,1,1,0.0012582925516004817,0.9987417074483995
467,1,1,0.00037693952049966395,0.9996230604795003
440,1,1,0.014257063617776122,0.9857429363822239
300,0,0,0.9999999691856065,3.081439345092177e-08
567,0,0,0.9999999994871638,5.12836264409e-10
53,0,0,0.9993051440002853,0.0006948559997147592
434,1,1,0.018944791657286464,0.9810552083427135
542,1,1,0.3785039441305741,0.6214960558694259
296,1,1,1.2007854425233333e-06,0.9999987992145575
415,1,1,0.012798675801463877,0.9872013241985361
41,0,0,0.7872285869368494,0.2127714130631506
355,1,1,0.0014342126129768262,0.9985657873870232
237,0,0,0.9999147012454304,8.529875456967125e-05
390,1,1,7.294181988848347e-05,0.9999270581801115
431,1,1,0.0011642265941561591,0.9988357734058438
8,0,0,0.9958541385560732,0.004145861443926792
349,1,1,0.0003867566403502609,0.9996132433596497
65,0,0,0.9952297134822686,0.0047702865177313755
140,1,1,6.3093399472746725e-06,0.9999936906600527
498,0,0,0.9998922582933162,0.00010774170668386511
345,1,1,9.241365136358759e-06,0.9999907586348636
51,1,1,0.001757823749949483,0.9982421762500505
461,0,0,1.0,2.8646863172950545e-22
122,0,0,0.9999999999065378,9.346227541010052e-11
310,1,1,0.0021635495964932305,0.9978364504035068
48,1,1,0.008431190778332431,0.9915688092216676
205,0,0,0.7143586200545287,0.2856413799454713
488,1,1,0.016760423289917337,0.9832395767100827
102,1,1,0.009230150058336606,0.9907698499416634
7,0,0,0.976232217724815,0.023767782275184925
74,1,1,0.0032736284954104633,0.9967263715045895
564,0,0,0.9999999967539337,3.246066280888115e-09
66,1,1,0.0014876953626518086,0.9985123046373482
149,1,1,0.001788721955937378,0.9982112780440626
182,0,0,0.9962244256603281,0.003775574339671914
295,1,1,0.0007611809608640829,0.9992388190391359
423,1,1,0.07553091181714744,0.9244690881828526
269,1,1,0.0005182960393745883,0.9994817039606254
412,1,1,1.7646620531275303e-05,0.9999823533794687
497,1,1,0.00969305554353228,0.9903069444564677
452,1,1,0.018170159798031604,0.9818298402019684
235,1,1,0.03220545523661922,0.9677945447633808
17,0,0,0.9999815777060349,1.842229396509238e-05
518,1,1,0.05423698831361634,0.9457630116863837
509,0,0,0.9984532799736557,0.0015467200263442069
113,1,1,0.00012735935597829595,0.9998726406440217
260,0,0,0.9999994464852219,5.535147780755173e-07
14,0,0,0.9657499500731667,0.03425004992683336
381,1,1,0.00021838047101851998,0.9997816195289815
344,1,1,0.006122769725447896,0.9938772302745521
328,0,0,0.9990388625190948,0.0009611374809052413
528,1,1,0.017332899316183648,0.9826671006838164
70,0,0,0.9999887853005744,1.1214699425544327e-05
361,1,1,0.008546175492181729,0.9914538245078183
417,0,0,0.9999998993459266,1.0065407338668508e-07
93,1,1,0.029629647477624976,0.970370352522375
298,1,1,0.01298112140175034,0.9870188785982497
403,1,1,0.00348826103630151,0.9965117389636985
84,1,1,0.010849414807938662,0.9891505851920613
79,1,1,0.008539652498902206,0.9914603475010978
194,0,0,0.7693023872112903,0.23069761278870973
468,0,0,0.9998260445300933,0.0001739554699067232
353,0,0,0.9994366645325152,0.0005633354674847276
494,1,1,0.0056004999723784366,0.9943995000276216
348,1,1,0.0016755653805200499,0.99832443461948
439,1,1,0.0014720801692734709,0.9985279198307265
519,1,1,0.03303829007641601,0.966961709923584
231,1,1,0.0009876187863001595,0.9990123812136998
202,0,0,0.9999999980940658,1.9059341708244125e-09
38,0,0,0.6416442258960162,0.3583557741039837
180,0,0,0.9999999999989694,1.0306442474533156e-12
513,1,1,0.07104443724370268,0.9289555627562973
223,0,0,0.997780422943041,0.002219577056958984
127,0,0,0.9988404417928514,0.0011595582071486192
395,1,1,0.0030305854619261385,0.9969694145380739
206,1,1,0.00030359557885606403,0.9996964044211439
370,0,0,0.9999580819470176,4.19180529823502e-05
464,1,1,0.013034845123931937,0.9869651548760681
507,1,1,0.0016415824715929617,0.998358417528407
375,1,1,0.09928389161253048,0.9007161083874695
366,0,0,0.9999996443381842,3.5566181579324494e-07
75,0,0,0.9991291366248783,0.0008708633751216934
537,1,1,0.15329705852464026,0.8467029414753597
496,1,1,0.12172407471348135,0.8782759252865187
62,0,0,0.9978022572761849,0.002197742723815125
232,1,1,0.01693776964994209,0.9830622303500579
334,1,1,0.0011534091936229451,0.998846590806377
523,1,1,0.12844295797585892,0.8715570420241411
96,1,1,0.0005471097854061746,0.9994528902145938
95,0,0,0.9999956398996562,4.360100343762794e-06
77,0,0,0.9999887040179389,1.1295982061086667e-05
167,0,0,0.9890504918324073,0.010949508167592605
217,1,1,7.268468207710654e-05,0.9999273153179229
477,1,1,0.0016525001562056607,0.9983474998437943
43,0,0,0.9533445251651906,0.046655474834809356
24,0,0,0.9999999763741232,2.3625876853995498e-08
399,1,1,0.003092040311448385,0.9969079596885516
37,1,1,0.00010427628282938528,0.9998957237171706
177,0,0,0.9915566707631843,0.008443329236815683
212,0,0,0.9999999999999999,1.274092831483104e-16
23,0,0,0.9999999852271242,1.4772875801936888e-08
447,1,1,0.10104738535849889,0.8989526146415011
553,1,1,2.4433835872361698e-05,0.9999755661641276
121,0,0,0.999945845078456,5.4154921544020615e-05
316,1,1,3.17667772548047e-05,0.9999682332227452
85,0,0,0.9999858066073819,1.4193392618107843e-05
104,1,1,0.00020408055759479904,0.9997959194424052
428,1,1,2.8465283503642524e-05,0.9999715347164964
13,0,0,0.6350407981449728,0.3649592018550271
354,1,1,2.010779509664662e-05,0.9999798922049034
